name,url,image,regular_price,special_price,discount_pct,in_stock,sku,description
Seagate One Touch 2TB Silver External Hard Drive,https://mdcomputers.in/product/seagate-one-touch-2tb-external-hard-drive-stky20004051,https://mdcomputers.in/image/catalog/hdd/seagate/stky2000401/seagate-onetouch-2tb-external-hdd-silver-image-main.jpg,"₹12,999","₹11,920",-8%,,,
Seagate One Touch 2TB External Hard Drive,https://mdcomputers.in/product/seagate-one-touch-2tb-external-hard-drive-stky2000400,https://mdcomputers.in/image/catalog/hdd/seagate/stky2000400/stky2000400-image-main.jpg,"₹12,999","₹12,200",-6%,,,
Crucial X9 1TB Gen2 External SSD,https://mdcomputers.in/product/crucial-x9-1tb-ssd-ct1000x9ssd9,https://mdcomputers.in/image/catalog/ssd/crucial/ct1000x9ssd9/ct1000x9ssd9-image.webp,"₹15,300","₹13,399",-12%,,,
SanDisk E30 1TB Portable SSD,https://mdcomputers.in/product/sandisk-1tb-external-ssd-sdssde30-1t00-g26,https://mdcomputers.in/image/catalog/ssd/sandisk/sandisk-1tb-portable-external-ssd-sdssde30-1t00-g25/sandisk-1tb-portable-external-ssd-sdssde30-1t00-g25-main.jpg,"₹20,800","₹14,140",-32%,,,
Kingston XS1000 Built on Commitment 1TB External SSD,https://mdcomputers.in/product/kingston-xs1000-1tb-external-ssd-sxs1000-1000ga,https://mdcomputers.in/image/catalog/ssd/kingston/sxs1000-1000ga/sxs1000-1000ga-image-main0.webp,"₹20,000","₹14,599",-27%,,,
Kingston Dual USB Type A and Type C 1TB Portable SSD,https://mdcomputers.in/product/kingston-spsd-1tb-dual-portable-ssd,https://mdcomputers.in/image/catalog/ssd/kingston/spsd-1tb/spsd-1tb-image-main.webp,"₹32,000","₹15,620",-51%,,,
Kingston XS2000 USB 3.2 Gen 2 1TB External SSD,https://mdcomputers.in/product/kingston-xs2000-1tb-ssd-sxs2000-1000g,https://mdcomputers.in/image/catalog/ssd/kingston/sxs2000-1000g/kingston-ssd-xs2000-1tb-image-main.jpg,"₹24,000","₹16,399",-32%,,,
SanDisk E61 Extreme 1TB Portable SSD,https://mdcomputers.in/product/sandisk-1tb-external-ssd-sdssde61-1t00-in25,https://mdcomputers.in/image/catalog/ssd/sandisk/sdssde61-1t00-in25/sdssde61-1t00-in25-image-main0.webp,"₹21,700","₹16,499",-24%,,,
Western Digital Elements 4TB External Hard Drive,https://mdcomputers.in/product/wd-elements-4tb-external-hard-drive-wdbhdw0040bbk-eesn,https://mdcomputers.in/image/catalog/hdd/western%20digital/wdbhdw0040bbk-eesn/wdbhdw0040bbk-eesn-image-main-webp.webp,"₹19,000","₹16,840",-11%,,,
Western Digital My Book 4TB External Hard Drive,https://mdcomputers.in/product/wd-my-book-4tb-external-hard-drive-wdbbgb0040hbk-nesn,https://mdcomputers.in/image/catalog/hdd/western%20digital/wdbbgb0040hbk-nesn/my_book4t_img_main.jpg,"₹20,000","₹16,840",-16%,,,
Western Digital My Passport 4TB External Hard Drive,https://mdcomputers.in/product/wd-my-passport-4tb-external-hard-drive-wdbpkj0040bbk-wesn,https://mdcomputers.in/image/catalog/hdd/western%20digital/wdbpkj0040bbk-wesn/wdbpkj0040bbk-wesn-image-main.jpg,"₹19,000","₹16,960",-11%,,,
Seagate One Touch 4TB External Hard Drive,https://mdcomputers.in/product/seagate-one-touch-4tb-external-hard-drive-stkz4000400,https://mdcomputers.in/image/catalog/hdd/seagate/stkz4000400/stkz4000400-image-main.jpg,"₹20,000","₹17,150",-14%,,,
Seagate One Touch 4TB Silver External Hard Drive,https://mdcomputers.in/product/seagate-one-touch-4tb-external-hard-drive-stkz4000401,https://mdcomputers.in/image/catalog/hdd/seagate/stkz4000401/seagate-portable-4tb-hdd-silver-image-main.jpg,"₹19,000","₹17,260",-9%,,,
Western Digital My Passport 5TB External Hard Drive,https://mdcomputers.in/product/wd-my-passport-5tb-external-hard-drive-wdbpkj0050bbk,https://mdcomputers.in/image/catalog/hdd/western%20digital/wdbpkj0050bbk/wdbpkj0050bbk-image-main.webp,"₹21,000","₹18,599",-11%,,,
Seagate Expansion 5TB External Hard Drive,https://mdcomputers.in/product/seagate-expansion-5tb-external-hard-drive-stkm5000400,https://mdcomputers.in/image/catalog/hdd/seagate/stkm5000400/stkm5000400-image-main.webp,"₹21,000","₹18,600",-11%,,,
Western Digital Elements 5TB Portable External Hard Drive,https://mdcomputers.in/product/wd-elements-5tb-external-hard-drivewdbhdw0050bbk-eesn,https://mdcomputers.in/image/catalog/hdd/western%20digital/%20wdbhdw0050bbk/wdbhdw0050bbk-image-main.jpg,"₹28,000","₹18,760",-33%,,,
Seagate One Touch 5TB External Hard Drive,https://mdcomputers.in/product/seagate-one-touch-5tb-external-hard-drive-stkz5000400,https://mdcomputers.in/image/catalog/hdd/seagate/stkz5000400/stkz5000400-image-main.jpg,"₹25,000","₹19,580",-22%,,,
Western Digital My Book 6TB External Hard Drive,https://mdcomputers.in/product/wd-my-book-6tb-external-hard-drive-wdbbgb0060hbk,https://mdcomputers.in/image/catalog/hdd/western%20digital/wdbbgb0060hbk/wdbbgb0060hbk-image-main.jpg,"₹25,000","₹21,299",-15%,,,
Western Digital Elements Portable 6TB External Hard Drive,https://mdcomputers.in/product/wd-elements-6tb-external-hard-drive-wdbnef0060bbk-eesn,https://mdcomputers.in/image/catalog/hdd/western%20digital/wdbnef0060bbk-eesn/wdbnef0060bbk-eesn-image-main.webp,"₹26,400","₹21,820",-17%,,,
Samsung T7 Blue 1TB External SSD,https://mdcomputers.in/product/samsung-t7-1tb-blue-external-ssd-mu-pc1t0h-ww,https://mdcomputers.in/image/catalog/ssd/samsung/mu-pc1t0h-ww/mu-pc1toh-ww-image-main.jpg,"₹39,199","₹22,640",-42%,,,
Kingston XS1000 2TB USB 3.2 Gen 2 Red BOC External SSD,https://mdcomputers.in/product/kingston-xs1000-2tb-external-ssd-sxs1000r-2000ga,https://mdcomputers.in/image/catalog/ssd/kingston/sxs1000r-2000ga/sxs1000r-2000ga-image-main.webp,"₹30,000","₹23,780",-21%,,,
Samsung T7 Shield Beige 1TB Portable External SSD,https://mdcomputers.in/product/samsung-t7-shield-beige-1tb-external-ssd-mu-pe1t0k-ww,https://mdcomputers.in/image/catalog/ssd/samsung/mu-pe1t0k-ww/Samsung_T7-Shield-SSD-image-main.jpg,"₹40,899","₹24,080",-41%,,,
SanDisk E30 2TB Portable SSD,https://mdcomputers.in/product/sandisk-2tb-external-ssd-sdssde30-2t00-g26,https://mdcomputers.in/image/catalog/ssd/sandisk/sdssde30-2t00-g26/sdssde30-2t00-g26-image-main0.webp,"₹29,800","₹24,350",-18%,,,
SanDisk E61 Extreme Monterey 2TB Portable SSD,https://mdcomputers.in/product/sandisk-e61-extreme-2tb-portable-ssd-sdssde61-2t00-i25m,https://mdcomputers.in/image/catalog/ssd/sandisk/sdssde61-2t00-i25m/sdssde61-2t00-i25m-image-main.webp,"₹32,600","₹26,380",-19%,,,
SanDisk E61 2TB Portable SSD,https://mdcomputers.in/product/sandisk-extreme-2tb-external-ssd-sdssde61-2t00-g25,https://mdcomputers.in/image/catalog/ssd/sandisk/sdssde61-2t00-g25/sdssde61-2t00-g25-image-main.jpg,"₹30,000","₹26,500",-12%,,,
Samsung T9 USB 3.2 1TB External SSD,https://mdcomputers.in/product/samsung-t9-1tb-external-ssd-mu-pg1t0b-ww,https://mdcomputers.in/image/catalog/ssd/samsung/mu-pg1t0b-ww/mu-pg1t0b-ww-image-main.jpg,"₹40,899","₹26,599",-35%,,,
Western Digital My Book 8TB External Hard Drive,https://mdcomputers.in/product/wd-my-book-8tb-external-hard-drive-wdbbgb0080hbk,https://mdcomputers.in/image/catalog/hdd/western%20digital/wdbbgb0080hbk/wdbbgb0080hbk-image-main.jpg,"₹30,000","₹27,000",-10%,,,
Kingston XS1000 2TB USB 3.2 Gen 2 BOC External SSD,https://mdcomputers.in/product/kingston-xs1000-2tb-external-ssd-sxs1000-2000ga,https://mdcomputers.in/image/catalog/ssd/kingston/sxs1000-2000ga/sxs1000-2000ga-image-main0.webp,"₹49,000","₹28,940",-41%,,,
Kingston Dual Portable USB Type A and Type C 2TB SSD,https://mdcomputers.in/product/kingston-spsd-2tb-dual-portable-ssd,https://mdcomputers.in/image/catalog/ssd/kingston/spsd-2tb/spsd-2tb-image-main.webp,"₹54,000","₹29,840",-45%,,,
Samsung T7 Blue 2TB External SSD,https://mdcomputers.in/product/samsung-t7-2tb-blue-external-ssd-mu-pc2t0h-ww,https://mdcomputers.in/image/catalog/ssd/samsung/mu-pc2t0h-ww/mu-pc2toh-ww-image-main.jpg,"₹78,299","₹49,040",-37%,,,
Samsung T7 Titan Grey 2TB Portable SSD,https://mdcomputers.in/product/samsung-t7-2tb-gray-external-ssd-mu-pc2t0t-ww,https://mdcomputers.in/image/catalog/ssd/samsung/mu-pc2t0t-ww/mu-pc2t0t-ww-image-main.jpg,"₹78,299","₹49,040",-37%,,,
Samsung T7 Shield 2TB External SSD,https://mdcomputers.in/product/samsung-t7-shield-2tb-external-ssd-mu-pe2t0s-ww,https://mdcomputers.in/image/catalog/ssd/samsung/mu-pe2t0s-ww/mu-pe2t0s-ww-image-main.jpg,"₹81,699","₹51,680",-37%,,,
SanDisk E61 Extreme 4TB Portable SSD,https://mdcomputers.in/product/sandisk-extreme-4tb-portable-ssd-sdssde61-4t00-in25,https://mdcomputers.in/image/catalog/sdssde61-4t00-in25/sdssde61-4t00-in25-image-main.webp,"₹60,800","₹51,999",-14%,,,
SAMSUNG T7 Gray 4TB Gen 2 External SSD,https://mdcomputers.in/product/samsung-t7-gray-4tb-external-ssd-mu-pc4t0t-ww,https://mdcomputers.in/image/catalog/ssd/samsung/mu-pc4t0t-ww/mu-pc4t0t-ww-image.webp,"₹156,499","₹81,680",-48%,,,
SAMSUNG T9 NVMe 4TB Gen 2 External SSD,https://mdcomputers.in/product/samsung-t9-4tb-external-ssd-mu-pg4t0b-ww,https://mdcomputers.in/image/catalog/ssd/samsung/mu-pg4t0b-ww/mu-pg4t0b-ww-main.webp,"₹163,499","₹111,450",-32%,,,
